GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Broadwick,broadwick.phylo,PhyloNode,29,43,3,3,6,11,6,3,3,3
Broadwick,broadwick.phylo,NewickTreeParser,115,414,17,45,12,87,12,29,0,10
Broadwick,broadwick.config,ConfigValidationErrors,100,0,6,0,21,0,9,0,6,0
Broadwick,broadwick.config,ConfigValidationErrors.Status,38,0,0,0,3,0,4,0,4,0
Broadwick,broadwick.config,ConfigValidator,110,0,6,0,26,0,9,0,6,0
Broadwick,broadwick.simulation.mcmc,MarkovChainMonteCarlo,57,0,2,0,14,0,5,0,4,0
Broadwick,broadwick.montecarlo,McStepCoordinates,58,0,4,0,13,0,5,0,3,0
Broadwick,broadwick.montecarlo,MonteCarlo,335,0,20,0,58,0,23,0,13,0
Broadwick,broadwick.montecarlo,McObserver,16,0,2,0,7,0,4,0,3,0
Broadwick,broadwick.montecarlo,McMaxNumStepController,19,0,2,0,6,0,4,0,3,0
Broadwick,broadwick.rng,RngException,7,0,0,0,4,0,2,0,2,0
Broadwick,broadwick.rng,RNG,420,51,55,5,66,13,48,3,18,3
Broadwick,broadwick.rng,RNG.Generator,9,39,0,0,0,4,2,2,2,2
Broadwick,broadwick.statistics,Samples,47,249,5,7,7,48,6,14,1,13
Broadwick,broadwick.montecarlo.acceptor,MetropolisHastings,29,0,2,0,6,0,4,0,3,0
Broadwick,broadwick.math,Factorial,102,0,12,0,22,0,9,0,3,0
Broadwick,broadwick.math,SetOperations,69,0,4,0,19,0,9,0,7,0
Broadwick,broadwick.statistics.regression,SimpleLinearRegression,72,0,0,0,15,0,11,0,11,0
Broadwick,broadwick.stochastic.algorithms,TauLeapingFixedStep,48,0,2,0,14,0,7,0,6,0
Broadwick,broadwick.stochastic.algorithms,AbstractTauLeapingBase,139,0,16,0,21,0,12,0,4,0
Broadwick,broadwick.stochastic.algorithms,TauLeaping,65,0,4,0,17,0,8,0,6,0
Broadwick,broadwick.stochastic.algorithms,GillespieSimple,266,0,36,0,57,0,30,0,12,0
Broadwick,broadwick.xml,XmlParser,47,0,2,0,10,0,3,0,2,0
Broadwick,broadwick.montecarlo.path,MarkovChain,57,0,0,0,18,0,7,0,7,0
Broadwick,broadwick.montecarlo.path,MarkovNormalProposal,47,0,2,0,7,0,4,0,3,0
Broadwick,broadwick.montecarlo.path,Step,90,0,8,0,20,0,8,0,4,0
Broadwick,broadwick.graph,Tree,151,75,4,0,29,18,22,13,20,13
Broadwick,broadwick.graph,EdgeType,38,0,0,0,3,0,4,0,4,0
Broadwick,broadwick.graph,DirectedGraph,148,0,0,0,29,0,26,0,26,0
Broadwick,broadwick.graph,Vertex,4,12,0,0,0,5,1,2,1,2
Broadwick,broadwick.graph,DepthFirstIterator,0,72,0,8,0,17,0,9,0,5
Broadwick,broadwick.graph,Edge,78,51,0,0,9,12,8,3,8,3
Broadwick,broadwick.config.generated,DataFiles.DirectedMovementFile,458,0,10,0,127,0,34,0,29,0
Broadwick,broadwick.config.generated,ObjectFactory,95,0,0,0,25,0,24,0,24,0
Broadwick,broadwick.config.generated,GaussianPrior,172,0,10,0,51,0,18,0,13,0
Broadwick,broadwick.config.generated,Models.Model,246,0,12,0,70,0,22,0,16,0
Broadwick,broadwick.config.generated,CustomTags,132,0,12,0,40,0,16,0,10,0
Broadwick,broadwick.config.generated,Prior,199,0,10,0,59,0,20,0,15,0
Broadwick,broadwick.config.generated,UniformPrior,172,0,10,0,51,0,18,0,13,0
Broadwick,broadwick.config.generated,Project.Data,159,0,10,0,47,0,18,0,13,0
Broadwick,broadwick.config.generated,Parameter,197,0,10,0,57,0,20,0,15,0
Broadwick,broadwick.config.generated,Logs.File,235,0,10,0,67,0,22,0,17,0
Broadwick,broadwick.config.generated,PopulationType,232,0,10,0,67,0,22,0,17,0
Broadwick,broadwick.config.generated,Logs.Console,159,0,10,0,47,0,18,0,13,0
Broadwick,broadwick.config.generated,DataFiles.PopulationFile,349,0,10,0,97,0,28,0,23,0
Broadwick,broadwick.config.generated,DataFiles.LocationsFile,386,0,10,0,107,0,30,0,25,0
Broadwick,broadwick.config.generated,CustomTags.CustomTag,196,0,10,0,57,0,20,0,15,0
Broadwick,broadwick.config.generated,DataFiles.FullMovementFile,572,0,10,0,157,0,40,0,35,0
Broadwick,broadwick.config.generated,DataFiles,377,0,22,0,100,0,26,0,15,0
Broadwick,broadwick.config.generated,Logs,159,0,10,0,48,0,18,0,13,0
Broadwick,broadwick.config.generated,DataFiles.TestsFile,498,0,10,0,137,0,36,0,31,0
Broadwick,broadwick.config.generated,Project,197,0,10,0,58,0,20,0,15,0
Broadwick,broadwick.config.generated,Databases,121,0,10,0,37,0,16,0,11,0
Broadwick,broadwick.config.generated,LifeHistoryType,307,0,10,0,87,0,26,0,21,0
Broadwick,broadwick.config.generated,Models,132,0,12,0,40,0,16,0,10,0
Broadwick,broadwick.config.generated,DataFiles.BatchMovementFile,572,0,10,0,157,0,40,0,35,0
Broadwick,broadwick.config.generated,Models.Model.Priors,147,0,12,0,43,0,16,0,10,0
Broadwick,broadwick.abc,ApproxBayesianComp,140,0,10,0,30,0,12,0,7,0
Broadwick,broadwick.abc,AbcNamedQuantity,58,0,4,0,13,0,5,0,3,0
Broadwick,broadwick.abc,AbcMaxNumStepController,11,0,2,0,2,0,3,0,2,0
Broadwick,broadwick.abc,AbcAbsDistance,52,0,6,0,8,0,5,0,2,0
Broadwick,broadwick.statistics.distributions,IntegerDistribution,174,685,8,36,25,131,7,38,1,22
Broadwick,broadwick.statistics.distributions,MultinomialDistribution,206,0,22,0,39,0,17,0,6,0
Broadwick,broadwick.statistics.distributions,Normal,54,0,0,0,13,0,8,0,8,0
Broadwick,broadwick.model,Model.new Predicate() {...},15,0,0,0,2,0,2,0,2,0
Broadwick,broadwick.model,Model.new Predicate() {...},15,0,0,0,2,0,2,0,2,0
Broadwick,broadwick.model,Model,88,0,0,0,23,0,15,0,15,0
Broadwick,broadwick.io,FileOutput,185,89,15,3,30,25,13,7,4,7
Broadwick,broadwick.io,FileInput,51,213,6,24,10,53,7,18,1,9
Broadwick,broadwick.io,BroadwickIOException,3,4,0,0,2,2,1,1,1,1
Broadwick,broadwick.io,NullOutputStream,4,0,0,0,2,0,1,0,1,0
Broadwick,broadwick.io,FileInputIterator,43,0,0,0,14,0,5,0,5,0
Broadwick,broadwick.io,FileUtils,3,70,1,5,2,10,2,4,1,2
Broadwick,broadwick,Broadwick.new Runnable() {...},57,0,0,0,11,0,2,0,2,0
Broadwick,broadwick,BroadwickVersion,188,0,6,0,40,0,11,0,8,0
Broadwick,broadwick,Constants,3,0,0,0,2,0,1,0,1,0
Broadwick,broadwick,CliOptions,9,120,2,2,3,22,2,4,0,4
Broadwick,broadwick,Broadwick,443,0,34,0,96,0,24,0,7,0
Broadwick,broadwick,BroadwickException,11,0,0,0,6,0,3,0,3,0
Broadwick,broadwick,LoggingFacade,172,0,8,0,51,0,12,0,8,0
Broadwick,broadwick,BroadwickConstants,34,0,0,0,9,0,6,0,6,0
Broadwick,broadwick.concurrent,LocalPoolExecutor.new Runnable() {...},66,0,0,0,11,0,2,0,2,0
Broadwick,broadwick.concurrent,Executor.Status,58,0,0,0,5,0,4,0,4,0
Broadwick,broadwick.concurrent,LocalPoolExecutor,229,0,14,0,74,0,15,0,8,0
Broadwick,broadwick.data,Location,216,0,40,0,16,0,30,0,10,0
Broadwick,broadwick.data,Test,292,0,54,0,7,0,38,0,11,0
Broadwick,broadwick.data,DataReader,518,0,38,0,107,0,33,0,14,0
Broadwick,broadwick.data,H2Database,176,0,22,0,34,0,18,0,7,0
Broadwick,broadwick.data,Movement,418,0,78,0,10,0,53,0,14,0
Broadwick,broadwick.data,MovementsComparator,9,0,0,0,2,0,2,0,2,0
Broadwick,broadwick.data,Lookup,2211,0,98,0,441,0,74,0,25,0
Broadwick,broadwick.data,Animal,292,0,54,0,7,0,38,0,11,0
Broadwick,broadwick.data.readers,FullMovementsFileReader,473,0,22,0,62,0,23,0,12,0
Broadwick,broadwick.data.readers,BatchedMovementsFileReader,429,0,22,0,59,0,23,0,12,0
Broadwick,broadwick.data.readers,LocationsFileReader,322,0,16,0,44,0,15,0,7,0
Broadwick,broadwick.data.readers,DirectedMovementsFileReader,372,0,18,0,50,0,18,0,9,0
Broadwick,broadwick.data.readers,PopulationsFileReader,711,0,38,0,92,0,32,0,13,0
Broadwick,broadwick.data.readers,DataFileReader,517,0,64,0,103,0,39,0,7,0
Broadwick,broadwick.data.readers,TestsFileReader,425,0,24,0,59,0,22,0,10,0
Broadwick,broadwick.utils,ArrayUtils,189,96,12,10,35,18,18,10,11,6
Broadwick,broadwick.utils,CloneUtils,82,0,8,0,15,0,7,0,3,0
Broadwick,broadwick.utils,Pair,149,0,26,0,16,0,22,0,9,0
Broadwick,broadwick.graph.writer,GraphViz,154,0,16,0,25,0,11,0,3,0
Broadwick,broadwick.graph.algorithms,ShortestPath,89,0,8,0,16,0,7,0,3,0
Broadwick,broadwick.graph.algorithms,ShortestPath.EdgeWeightTransformer,14,0,2,0,4,0,3,0,2,0
Broadwick,broadwick.stochastic,DefaultController,23,0,2,0,6,0,5,0,4,0
Broadwick,broadwick.stochastic,TransitionKernel,146,0,8,0,32,0,14,0,10,0
Broadwick,broadwick.stochastic,SimulationEvent,142,0,22,0,15,0,21,0,10,0
Broadwick,broadwick.stochastic,StochasticSimulator.ThetaQueue,44,163,5,9,8,32,5,7,1,4
Broadwick,broadwick.stochastic,StochasticSimulator,182,129,18,4,45,33,24,9,14,8
Broadwick,broadwick.stochastic,SimulationException,7,0,0,0,4,0,2,0,2,0
Broadwick,broadwick.stochastic,Observer,2,14,1,1,1,6,1,3,0,3
