#t	S	I	R
0.00	99	1	0
0.50	99	1	0
4.63	96	4	0
4.63	96	4	0
5.09	95	5	0
5.35	95	5	0
5.35	95	5	0
6.32	94	6	0
6.89	93	7	0
7.60	89	11	0
7.62	89	11	0
7.93	88	12	0
8.19	87	13	0
8.44	87	13	0
8.57	86	14	0
8.73	86	14	0
8.93	84	16	0
8.94	84	16	0
9.10	81	19	0
9.10	81	19	0
9.11	80	20	0
9.32	78	22	0
9.87	74	25	1
9.97	73	26	1
10.14	73	26	1
10.31	69	29	2
10.73	67	30	3
10.94	66	30	4
11.10	63	33	4
11.11	63	33	4
11.20	63	33	4
11.80	56	40	4
11.80	56	40	4
11.90	55	41	4
12.00	54	42	4
12.21	52	43	5
12.28	51	44	5
12.31	51	44	5
12.32	51	44	5
12.51	51	44	5
12.54	51	44	5
12.68	51	44	5
12.79	49	46	5
12.85	49	45	6
12.87	49	45	6
12.95	49	45	6
12.98	48	46	6
13.13	47	47	6
13.16	47	47	6
13.22	45	49	6
13.24	45	49	6
13.29	44	50	6
13.35	43	51	6
13.40	43	51	6
13.52	43	51	6
13.61	43	50	7
13.67	43	49	8
13.86	42	50	8
13.95	41	50	9
14.02	41	50	9
14.04	41	50	9
14.04	41	50	9
14.07	40	51	9
14.10	39	52	9
14.16	39	52	9
14.17	39	52	9
14.23	39	52	9
14.32	38	53	9
14.49	37	54	9
14.55	37	53	10
14.59	36	54	10
14.64	36	54	10
14.80	35	55	10
14.95	34	56	10
15.02	34	56	10
15.26	33	56	11
15.38	31	58	11
15.40	31	58	11
15.47	30	59	11
15.73	30	56	14
15.79	30	56	14
15.85	30	56	14
15.92	30	56	14
15.97	29	57	14
16.49	28	58	14
16.52	28	58	14
16.60	28	58	14
16.69	26	60	14
16.72	25	61	14
16.77	25	61	14
16.80	25	61	14
16.95	24	62	14
17.02	23	63	14
17.03	23	63	14
17.08	22	64	14
17.17	21	65	14
17.20	21	65	14
17.48	18	68	14
17.53	18	68	14
17.64	17	69	14
17.91	16	69	15
17.92	16	69	15
17.98	15	70	15
18.18	12	72	16
18.19	12	72	16
18.20	12	72	16
18.78	11	71	18
18.79	11	71	18
18.82	11	71	18
18.94	11	71	18
19.07	10	70	20
19.38	8	71	21
19.60	8	70	22
19.90	7	71	22
20.13	54	74	22
20.18	54	74	22
20.18	54	74	22
20.18	54	74	22
20.21	53	74	23
20.23	53	74	23
20.26	52	75	23
20.35	50	76	24
20.45	49	76	25
20.53	49	75	26
20.56	49	75	26
20.60	48	76	26
20.83	43	80	27
20.87	43	80	27
20.87	43	80	27
20.89	43	80	27
20.92	43	80	27
20.96	42	81	27
20.99	42	81	27
21.00	42	81	27
21.08	39	83	28
21.08	39	83	28
21.09	39	83	28
21.14	37	85	28
21.26	33	89	28
21.29	33	89	28
21.29	33	89	28
21.32	33	89	28
21.44	33	88	29
21.46	33	88	29
21.52	33	88	29
21.58	33	88	29
21.64	32	89	29
21.67	31	90	29
21.67	31	90	29
21.67	31	90	29
21.70	31	90	29
21.77	31	89	30
21.83	31	89	30
21.87	31	89	30
21.90	31	88	31
22.08	29	88	33
22.19	27	90	33
22.21	27	90	33
22.29	26	91	33
22.40	26	91	33
22.49	23	94	33
22.62	22	94	34
22.66	21	95	34
22.77	20	94	36
22.81	19	95	36
23.04	18	94	38
23.07	18	94	38
23.13	17	95	38
23.13	17	95	38
23.24	16	96	38
23.29	15	96	39
23.33	15	96	39
23.44	14	96	40
23.57	14	94	42
23.61	14	94	42
23.91	13	93	44
24.05	12	91	47
24.07	12	91	47
24.08	12	91	47
24.25	11	91	48
24.27	11	91	48
24.42	11	91	48
24.45	11	91	48
25.02	11	89	50
25.02	11	89	50
25.16	11	89	50
25.40	9	88	53
25.45	9	88	53
25.47	9	88	53
25.76	8	88	54
26.30	7	87	56
26.54	6	87	57
26.73	5	88	57
26.79	5	88	57
26.99	4	87	59
27.71	3	87	60
27.96	3	86	61
28.08	3	85	62
28.14	3	85	62
28.44	3	85	62
28.65	3	85	62
28.83	3	85	62
28.83	3	85	62
28.90	3	85	62
28.91	3	85	62
29.46	3	82	65
29.66	3	82	65
29.79	3	82	65
30.06	3	80	67
30.24	3	78	69
30.57	2	77	71
31.27	2	77	71
31.46	2	76	72
31.71	2	76	72
31.92	2	75	73
32.20	2	75	73
32.27	2	75	73
32.78	2	75	73
32.78	2	75	73
33.68	2	74	74
33.80	2	74	74
34.18	2	73	75
34.20	2	73	75
34.25	2	73	75
34.43	2	72	76
35.01	2	69	79
35.57	2	69	79
35.68	2	69	79
35.79	2	68	80
36.39	2	68	80
36.54	2	68	80
36.65	2	68	80
36.99	2	67	81
37.99	1	64	85
38.10	1	64	85
38.48	1	63	86
38.78	1	63	86
39.09	1	62	87
39.20	1	62	87
39.35	0	63	87
#timeSeries <- read.table('broadwick.stochasticSIR.dat', sep="\t")
#pdf(file="broadwick.stochasticSIR.pdf", onefile=FALSE, width=7.5, height=7.5)
#cols <- c("yellow", "red", "blue")
#plot(timeSeries$V1, timeSeries$V2, type="l", xlim=c(0,max(timeSeries$V1)), ylim=c(0,150), col=cols[1])
#lines (timeSeries$V1, timeSeries$V3, type="l", col=cols[2])
#lines (timeSeries$V1, timeSeries$V4, type="l", col=cols[3])
