GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Broadwick,broadwick.config.generated,CustomTags.CustomTag,200,0,10,0,58,0,21,0,16,0
Broadwick,broadwick.config.generated,UniformPrior,176,0,10,0,52,0,19,0,14,0
Broadwick,broadwick.config.generated,Parameter,201,0,10,0,58,0,21,0,16,0
Broadwick,broadwick.config.generated,ObjectFactory,95,0,0,0,25,0,24,0,24,0
Broadwick,broadwick.config.generated,Models.Model.Priors,151,0,12,0,44,0,17,0,11,0
Broadwick,broadwick.config.generated,DataFiles.LocationsFile,390,0,10,0,108,0,31,0,26,0
Broadwick,broadwick.config.generated,Databases,125,0,10,0,38,0,17,0,12,0
Broadwick,broadwick.config.generated,DataFiles.BatchMovementFile,576,0,10,0,158,0,41,0,36,0
Broadwick,broadwick.config.generated,Logs.File,239,0,10,0,68,0,23,0,18,0
Broadwick,broadwick.config.generated,DataFiles,381,0,22,0,100,0,27,0,16,0
Broadwick,broadwick.config.generated,DataFiles.TestsFile,502,0,10,0,138,0,37,0,32,0
Broadwick,broadwick.config.generated,DataFiles.FullMovementFile,576,0,10,0,158,0,41,0,36,0
Broadwick,broadwick.config.generated,Models,136,0,12,0,40,0,17,0,11,0
Broadwick,broadwick.config.generated,Prior,199,0,10,0,59,0,20,0,15,0
Broadwick,broadwick.config.generated,Project,201,0,10,0,58,0,21,0,16,0
Broadwick,broadwick.config.generated,DataFiles.DirectedMovementFile,462,0,10,0,128,0,35,0,30,0
Broadwick,broadwick.config.generated,CustomTags,136,0,12,0,40,0,17,0,11,0
Broadwick,broadwick.config.generated,Logs,163,0,10,0,48,0,19,0,14,0
Broadwick,broadwick.config.generated,PopulationType,236,0,10,0,68,0,23,0,18,0
Broadwick,broadwick.config.generated,Models.Model,250,0,12,0,70,0,23,0,17,0
Broadwick,broadwick.config.generated,GaussianPrior,176,0,10,0,52,0,19,0,14,0
Broadwick,broadwick.config.generated,LifeHistoryType,311,0,10,0,88,0,27,0,22,0
Broadwick,broadwick.config.generated,Logs.Console,163,0,10,0,48,0,19,0,14,0
Broadwick,broadwick.config.generated,Project.Data,163,0,10,0,48,0,19,0,14,0
Broadwick,broadwick.config.generated,DataFiles.PopulationFile,353,0,10,0,98,0,29,0,24,0
Broadwick,broadwick.odesolver,OdeSolver,163,0,6,0,39,0,18,0,15,0
Broadwick,broadwick.odesolver,DefaultOdeController,16,0,2,0,4,0,3,0,2,0
Broadwick,broadwick.odesolver,OdeSolver.ThetaQueue,172,0,8,0,33,0,9,0,5,0
Broadwick,broadwick.odesolver,Observer,77,0,16,0,8,0,14,0,6,0
Broadwick,broadwick.odesolver,RungeKutta4,330,0,22,0,45,0,14,0,3,0
Broadwick,broadwick.xml,XmlParser,47,0,2,0,10,0,3,0,2,0
Broadwick,broadwick.utils,Pair,149,0,26,0,16,0,22,0,9,0
Broadwick,broadwick.utils,ArrayUtils,189,96,12,10,35,18,18,10,11,6
Broadwick,broadwick.utils,CloneUtils,32,0,0,0,7,0,3,0,3,0
Broadwick,broadwick.math,SetOperations,68,0,0,0,19,0,7,0,7,0
Broadwick,broadwick.math,Factorial,102,0,12,0,22,0,9,0,3,0
Broadwick,broadwick.math,Vector,181,0,10,0,34,0,16,0,11,0
